b,,,,,,
8,,,,,,
91,,,,,,
154,,,,,,
102,,,,,,
-54,,,,,,
-124,,,,,,
6,,,,,,
155,,,,,,
69,,,,,,
-165,,,,,,
-171,,,,,,
123,,,,,,
278,,,,,,
-19,,,,,,
-361,,,,,,
-154,,,,,,
379,,,,,,
377,,,,,,
-296,,,,,,
-622,,,,,,
74,,,,,,
832,,,,,,
308,,,,,,
-940,,,,,,
-877,,,,,,
848,,,,,,
1677,,,,,,
-387,,,,,,
-2923,,,,,,
-1036,,,,,,
6190,,,,,,
13095,,,,,,
13095,,,,,,
6190,,,,,,
-1036,,,,,,
-2923,,,,,,
-387,,,,,,
1677,,,,,,
848,,,,,,
-877,,,,,,
-940,,,,,,
308,,,,,,
832,,,,,,
74,,,,,,
-622,,,,,,
-296,,,,,,
377,,,,,,
379,,,,,,
-154,,,,,,
-361,,,,,,
-19,,,,,,
278,,,,,,
123,,,,,,
-171,,,,,,
-165,,,,,,
69,,,,,,
155,,,,,,
6,,,,,,
-124,,,,,,
-54,,,,,,
102,,,,,,
154,,,,,,
91,,,,,,
8,,,,,,
